row_number,region_code,region_name,district_id,district_name,geohash,event_city,travel_city
7192467,77,Аэропорт Москвы,,Airport,8811aa6eb1fffff,CHKALOVSKY,ЧКАЛОВСКИЙ
7192468,77,Аэропорт Москвы,,Airport,8811aa6e83fffff,CHKALOVSKY,ЧКАЛОВСКИЙ
7192469,77,Аэропорт Москвы,,Airport,881181a183fffff,DOMODEDOVO,ДОМОДЕДОВО
7192470,77,Аэропорт Москвы,,Airport,881181a197fffff,DOMODEDOVO,ДОМОДЕДОВО
7192471,77,Аэропорт Москвы,,Airport,881181a1b9fffff,DOMODEDOVO,ДОМОДЕДОВО
7192472,77,Аэропорт Москвы,,Airport,881181af5dfffff,DOMODEDOVO,ДОМОДЕДОВО
7192473,77,Аэропорт Москвы,,Airport,881181a1d3fffff,DOMODEDOVO,ДОМОДЕДОВО
7192474,77,Аэропорт Москвы,,Airport,881181a1d7fffff,DOMODEDOVO,ДОМОДЕДОВО
7192475,77,Аэропорт Москвы,,Airport,881181a1b5fffff,DOMODEDOVO,ДОМОДЕДОВО
7192476,77,Аэропорт Москвы,,Airport,881181a19bfffff,DOMODEDOVO,ДОМОДЕДОВО
7192477,77,Аэропорт Москвы,,Airport,881181a1b1fffff,DOMODEDOVO,ДОМОДЕДОВО
7192478,77,Аэропорт Москвы,,Airport,881181a19dfffff,DOMODEDOVO,ДОМОДЕДОВО
7192479,77,Аэропорт Москвы,,Airport,881181a0a5fffff,DOMODEDOVO,ДОМОДЕДОВО
7192480,77,Аэропорт Москвы,,Airport,881181a191fffff,DOMODEDOVO,ДОМОДЕДОВО
7192481,77,Аэропорт Москвы,,Airport,881181af4bfffff,DOMODEDOVO,ДОМОДЕДОВО
7192482,77,Аэропорт Москвы,,Airport,881181a199fffff,DOMODEDOVO,ДОМОДЕДОВО
7192483,77,Аэропорт Москвы,,Airport,881181a18bfffff,DOMODEDOVO,ДОМОДЕДОВО
7192484,77,Аэропорт Москвы,,Airport,881181a187fffff,DOMODEDOVO,ДОМОДЕДОВО
7192485,77,Аэропорт Москвы,,Airport,881181a1bdfffff,DOMODEDOVO,ДОМОДЕДОВО
7192486,77,Аэропорт Москвы,,Airport,881181ae6dfffff,DOMODEDOVO,ДОМОДЕДОВО
7192487,77,Аэропорт Москвы,,Airport,881181a1b7fffff,DOMODEDOVO,ДОМОДЕДОВО
7192488,77,Аэропорт Москвы,,Airport,881181a1bbfffff,DOMODEDOVO,ДОМОДЕДОВО
7192489,77,Аэропорт Москвы,,Airport,881181a195fffff,DOMODEDOVO,ДОМОДЕДОВО
7192490,77,Аэропорт Москвы,,Airport,881181a1a3fffff,DOMODEDOVO,ДОМОДЕДОВО
7192491,77,Аэропорт Москвы,,Airport,881181af59fffff,DOMODEDOVO,ДОМОДЕДОВО
7192492,77,Аэропорт Москвы,,Airport,881181a1b3fffff,DOMODEDOVO,ДОМОДЕДОВО
7192493,77,Аэропорт Москвы,,Airport,881181a193fffff,DOMODEDOVO,ДОМОДЕДОВО
7192494,77,Аэропорт Москвы,,Airport,8811aa0c31fffff,SHEREMETYEVO,ШЕРЕМЕТЬЕВО
7192495,77,Аэропорт Москвы,,Airport,8811aa0c3dfffff,SHEREMETYEVO,ШЕРЕМЕТЬЕВО
7192496,77,Аэропорт Москвы,,Airport,8811aa0c63fffff,SHEREMETYEVO,ШЕРЕМЕТЬЕВО
7192497,77,Аэропорт Москвы,,Airport,8811aa0c67fffff,SHEREMETYEVO,ШЕРЕМЕТЬЕВО
7192498,77,Аэропорт Москвы,,Airport,8811aa0c2bfffff,SHEREMETYEVO,ШЕРЕМЕТЬЕВО
7192499,77,Аэропорт Москвы,,Airport,8811aa0c2dfffff,SHEREMETYEVO,ШЕРЕМЕТЬЕВО
7192500,77,Аэропорт Москвы,,Airport,8811aa0c35fffff,SHEREMETYEVO,ШЕРЕМЕТЬЕВО
7192501,77,Аэропорт Москвы,,Airport,8811aa0c23fffff,SHEREMETYEVO,ШЕРЕМЕТЬЕВО
7192502,77,Аэропорт Москвы,,Airport,8811aa0c07fffff,SHEREMETYEVO,ШЕРЕМЕТЬЕВО
7192503,77,Аэропорт Москвы,,Airport,8811aa0c65fffff,SHEREMETYEVO,ШЕРЕМЕТЬЕВО
7192504,77,Аэропорт Москвы,,Airport,8811aa0c61fffff,SHEREMETYEVO,ШЕРЕМЕТЬЕВО
7192505,77,Аэропорт Москвы,,Airport,8811aa0c6dfffff,SHEREMETYEVO,ШЕРЕМЕТЬЕВО
7192506,77,Аэропорт Москвы,,Airport,8811aa0c37fffff,SHEREMETYEVO,ШЕРЕМЕТЬЕВО
7192507,77,Аэропорт Москвы,,Airport,8811aa0c21fffff,SHEREMETYEVO,ШЕРЕМЕТЬЕВО
7192508,77,Аэропорт Москвы,,Airport,8811aa0c05fffff,SHEREMETYEVO,ШЕРЕМЕТЬЕВО
7192509,77,Аэропорт Москвы,,Airport,8811aa0c29fffff,SHEREMETYEVO,ШЕРЕМЕТЬЕВО
7192510,77,Аэропорт Москвы,,Airport,8811aa40e1fffff,VNUKOVO,ВНУКОВО
7192511,77,Аэропорт Москвы,,Airport,8811aa41d3fffff,VNUKOVO,ВНУКОВО
7192512,77,Аэропорт Москвы,,Airport,8811aa4035fffff,VNUKOVO,ВНУКОВО
7192513,77,Аэропорт Москвы,,Airport,8811aa41d9fffff,VNUKOVO,ВНУКОВО
7192514,77,Аэропорт Москвы,,Airport,8811aa4037fffff,VNUKOVO,ВНУКОВО
7192515,77,Аэропорт Москвы,,Airport,8811aa40a1fffff,VNUKOVO,ВНУКОВО
7192516,77,Аэропорт Москвы,,Airport,8811aa41d1fffff,VNUKOVO,ВНУКОВО
7192517,77,Аэропорт Москвы,,Airport,8811aa40a9fffff,VNUKOVO,ВНУКОВО
7192518,77,Аэропорт Москвы,,Airport,8811aa41dbfffff,VNUKOVO,ВНУКОВО
7192519,77,Аэропорт Москвы,,Airport,8811aa40e3fffff,VNUKOVO,ВНУКОВО
7192520,77,Аэропорт Москвы,,Airport,8811aa4031fffff,VNUKOVO,ВНУКОВО
7192521,77,Аэропорт Москвы,,Airport,8811aa40adfffff,VNUKOVO,ВНУКОВО
7192522,77,Аэропорт Москвы,,Airport,8811aa40e5fffff,VNUKOVO,ВНУКОВО
7192523,77,Аэропорт Москвы,,Airport,8811aa40a5fffff,VNUKOVO,ВНУКОВО
7192524,77,Аэропорт Москвы,,Airport,8811aa40e7fffff,VNUKOVO,ВНУКОВО
7192525,77,Аэропорт Москвы,,Airport,8811aa4033fffff,VNUKOVO,ВНУКОВО
7192526,77,Аэропорт Москвы,,Airport,88118cda3dfffff,ZHUKOVSKY,ЖУКОВСКИЙ
7192527,77,Аэропорт Москвы,,Airport,88118cda15fffff,ZHUKOVSKY,ЖУКОВСКИЙ
7192528,77,Аэропорт Москвы,,Airport,88118cda33fffff,ZHUKOVSKY,ЖУКОВСКИЙ
7192529,77,Аэропорт Москвы,,Airport,88118cda3bfffff,ZHUKOVSKY,ЖУКОВСКИЙ
7192530,77,Аэропорт Москвы,,Airport,88118cda11fffff,ZHUKOVSKY,ЖУКОВСКИЙ
7192531,77,Аэропорт Москвы,,Airport,88118cda35fffff,ZHUKOVSKY,ЖУКОВСКИЙ
7192532,77,Аэропорт Москвы,,Airport,88118cda0bfffff,ZHUKOVSKY,ЖУКОВСКИЙ
7192533,77,Аэропорт Москвы,,Airport,88118cda01fffff,ZHUKOVSKY,ЖУКОВСКИЙ
7192534,77,Аэропорт Москвы,,Airport,88118cd841fffff,ZHUKOVSKY,ЖУКОВСКИЙ
7192535,77,Аэропорт Москвы,,Airport,88118cd80dfffff,ZHUKOVSKY,ЖУКОВСКИЙ
7192536,77,Аэропорт Москвы,,Airport,88118cda03fffff,ZHUKOVSKY,ЖУКОВСКИЙ
7192537,77,Аэропорт Москвы,,Airport,88118cda17fffff,ZHUKOVSKY,ЖУКОВСКИЙ
7192538,77,Аэропорт Москвы,,Airport,88118cdaedfffff,ZHUKOVSKY,ЖУКОВСКИЙ
7192539,77,Аэропорт Москвы,,Airport,88118cd84bfffff,ZHUKOVSKY,ЖУКОВСКИЙ
7192540,77,Аэропорт Москвы,,Airport,88118cda39fffff,ZHUKOVSKY,ЖУКОВСКИЙ
7192541,77,Аэропорт Москвы,,Airport,88118cda07fffff,ZHUKOVSKY,ЖУКОВСКИЙ
7192542,77,Аэропорт Москвы,,Airport,88118cda37fffff,ZHUKOVSKY,ЖУКОВСКИЙ
7192543,77,Аэропорт Москвы,,Airport,88118cd849fffff,ZHUKOVSKY,ЖУКОВСКИЙ
7192544,77,Аэропорт Москвы,,Airport,88118cd843fffff,ZHUKOVSKY,ЖУКОВСКИЙ
7192545,77,Аэропорт Москвы,,Airport,88118cda1dfffff,ZHUKOVSKY,ЖУКОВСКИЙ
7192546,77,Аэропорт Москвы,,Airport,88118cd847fffff,ZHUKOVSKY,ЖУКОВСКИЙ
7192547,77,Аэропорт Москвы,,Airport,88118cda31fffff,ZHUKOVSKY,ЖУКОВСКИЙ
